matchId,videoTimestamp,postShotXg,xg,videoPath
5228148,278,0.1409,0.02642,video/competition-198/season-187389/match-5228148/goal-s266-e313.mp4
5228148,669,0.4669,0.2489,video/competition-198/season-187389/match-5228148/goal-s656-e703.mp4
5228148,2049,0.05778,0.02964,video/competition-198/season-187389/match-5228148/goal-s2037-e2084.mp4
5228148,3705,0.6371,0.3094,video/competition-198/season-187389/match-5228148/goal-s3692-e3739.mp4
5228149,3042,0.8153,0.1238,video/competition-198/season-187389/match-5228149/goal-s3029-e3076.mp4
5228149,3767,0.543,0.0832,video/competition-198/season-187389/match-5228149/goal-s3755-e3802.mp4
5228149,4750,0.1707,0.02097,video/competition-198/season-187389/match-5228149/goal-s4738-e4785.mp4
5228150,1236,0.81,0.76,video/competition-198/season-187389/match-5228150/goal-s1223-e1270.mp4
5228151,2061,0.755,0.2751,video/competition-198/season-187389/match-5228151/goal-s2049-e2096.mp4
5228151,3013,0.2495,0.1738,video/competition-198/season-187389/match-5228151/goal-s3000-e3047.mp4
5228151,3951,0.4654,0.1455,video/competition-198/season-187389/match-5228151/goal-s3939-e3986.mp4
5228151,4340,0.81,0.76,video/competition-198/season-187389/match-5228151/goal-s4328-e4375.mp4
5228151,5385,0.6974,0.09841,video/competition-198/season-187389/match-5228151/goal-s5372-e5419.mp4
5228151,5622,0.7084,0.6798,video/competition-198/season-187389/match-5228151/goal-s5609-e5656.mp4
5228152,2502,0.3843,0.05163,video/competition-198/season-187389/match-5228152/goal-s2490-e2537.mp4
5228153,3570,0.917,0.8329,video/competition-198/season-187389/match-5228153/goal-s3557-e3604.mp4
5228154,725,0.1335,0.1844,video/competition-198/season-187389/match-5228154/goal-s712-e759.mp4
5228155,3484,0.7011,0.1341,video/competition-198/season-187389/match-5228155/goal-s3472-e3519.mp4
5228155,4626,0.2709,0.01337,video/competition-198/season-187389/match-5228155/goal-s4613-e4660.mp4
5228155,5405,0.5731,0.2113,video/competition-198/season-187389/match-5228155/goal-s5393-e5440.mp4
5228156,553,0.81,0.76,video/competition-198/season-187389/match-5228156/goal-s541-e588.mp4
5228157,1108,0.7088,0.2485,video/competition-198/season-187389/match-5228157/goal-s1095-e1142.mp4
5228157,2088,0.4068,0.1294,video/competition-198/season-187389/match-5228157/goal-s2075-e2122.mp4
5228157,4840,0.4714,0.1263,video/competition-198/season-187389/match-5228157/goal-s4827-e4874.mp4
5228158,3272,0.4266,0.2625,video/competition-198/season-187389/match-5228158/goal-s3260-e3307.mp4
5228158,4758,0.7415,0.5172,video/competition-198/season-187389/match-5228158/goal-s4746-e4793.mp4
5228158,5217,0.3328,0.03657,video/competition-198/season-187389/match-5228158/goal-s5204-e5251.mp4
5228159,468,0.1298,0.02701,video/competition-198/season-187389/match-5228159/goal-s456-e503.mp4
5228159,2604,0.2537,0.1425,video/competition-198/season-187389/match-5228159/goal-s2591-e2638.mp4
5228160,2868,0.6895,0.2334,video/competition-198/season-187389/match-5228160/goal-s2855-e2902.mp4
5228160,4607,0.1218,0.03166,video/competition-198/season-187389/match-5228160/goal-s4594-e4641.mp4
5228160,5208,0.8012,0.191,video/competition-198/season-187389/match-5228160/goal-s5196-e5243.mp4
5228161,5725,0.5507,0.3976,video/competition-198/season-187389/match-5228161/goal-s5712-e5759.mp4
