matchId,videoTimestamp,postShotXg,xg,videoPath
5228255,2065.537174,0.6031,0.1738,
5228255,2394.235796,0.6419,0.177,
5228255,2747.088659,0.2292,0.01762,
5228255,4166.095961,0.2238,0.03742,
5228255,5015.337618,0.1989,0.2754,
5228256,1617.112211,0.2217,0.1763,
5228256,2384.161708,0.3005,0.1458,
5228256,2638.331151,0.3931,0.03361,
5228256,2911.777474,0.4235,0.03059,
5228256,4681.9659,0.7878,0.532,
5228256,5731.981803,0.8456,0.4962,
5228257,1539.547501,0.441,0.09559,
5228257,4307.850483,0.3831,0.04444,
5228257,4576.029371,0.7612,0.3928,
5228257,4816.351341,0.4288,0.04385,
5228257,5381.992175,0.1684,0.09356,
5228258,1185.166296,0.6568,0.04666,
5228258,2694.348181,0.4117,0.1241,
5228259,1117.116881,0.8359,0.3131,
5228259,2332.108048,0.3881,0.08398,
5228260,1946.74835,0.1363,0.1632,
5228260,2156.986225,0.3569,0.09705,
5228260,3042.64049,0.7338,0.2227,
5228260,3279.758261,0.05649,0.06608,
5228260,3655.981351,0.81,0.76,
5228260,4121.703626,0.7903,0.6073,
5228260,4215.49689,0.388,0.03666,
5228261,2673.355498,0.4747,0.05737,
5228261,3950.268337,0.2938,0.1288,
5228262,513.270812,0.3651,0.3155,
5228262,4569.314545,0.4084,0.1093,
5228262,5033.685446,0.7036,0.2862,
5228262,5329.503657,0.5034,0.1393,
5228263,1880.821256,0.8029,0.3554,
5228263,4878.56107,0.6485,0.1941,
5228264,1576.916287,0.4678,0.2356,
5228264,3865.051576,0.5253,0.2486,
5228264,5158.918804,0.2892,0.04391,
5228265,865.667975,0.6373,0.4476,
5228265,2225.649684,0.0523,0.1398,
5228265,5706.205139,0.4266,0.096,
5228266,3258.270273,0.5166,0.1504,
5228266,3585.049445,0.81,0.76,
5228267,478.613608,0.3584,0.06655,
5228267,1426.583981,0.7472,0.3193,
5228267,3632.297799,0.3999,0.1631,
5228267,4762.645203,0.7529,0.6515,
5228268,2218.242732,0.6303,0.1872,
5228268,3421.070146,0.2662,0.2468,
5228268,4641.506463,0.4008,0.02467,
5228268,5696.095007,0.4069,0.1295,
5228268,5841.223593,0.4284,0.06917,
5228269,2420.427353,0.4368,0.4113,
5228269,2511.46025,0.3881,0.4495,
5228270,431.282643,0.78,0.2452,
5228270,1306.65234,0.5538,0.3355,
5228270,2515.754996,0.7071,0.126,
5228270,3071.20477,0.3758,0.06936,
5228271,3320.967661,0.8749,0.2176,
5228272,1074.921865,0.1244,0.09101,
5228272,5625.848658,0.6117,0.176,
5228273,3163.887086,0.506,0.328,
5228273,5360.202648,0.8016,0.73,
5228275,3465.35155,0.1276,0.08144,
5228275,3855.734757,0.4856,0.1734,
5228276,1443.83525,0.3756,0.2149,
5228276,4852.891087,0.8082,0.1942,
5228277,441.611703,0.7167,0.3672,
5228277,1087.323982,0.8675,0.5971,
5228277,2054.936201,0.9214,0.8384,
5228277,2788.535526,0.597,0.2083,
5228277,3778.510945,0.6652,0.2102,
5228277,4032.06874,0.3187,0.06899,
5228277,4276.827075,0.02059,0.03626,
5228278,969.52094,0.3852,0.06961,
5228278,3284.299088,0.3618,0.07277,
5228278,4502.092172,0.6814,0.2486,
5228279,322.083162,0.7269,0.5077,
5228279,688.64057,0.6513,0.05983,
5228279,2042.718369,0.1096,0.07694,
5228279,4872.363161,0.3884,0.07403,
5228280,1710.937057,0.8214,0.5238,
5228280,3806.450578,0.2818,0.08295,
5228281,1876.501922,0.2672,0.2249,
5228281,5186.373232,0.1736,0.05698,
5228282,1159.517845,0.05033,0.06712,
5228282,1886.319826,0.7997,0.2786,
5228282,4695.896354,0.81,0.76,
5228282,5249.066511,0.6118,0.1636,
5228282,5492.051288,0.7886,0.3309,
5228283,439.065774,0.5525,0.139,
5228283,2601.8636,0.7605,0.3112,
5228283,3253.90469,0.3932,0.1247,
5228283,5584.747395,0.1719,0.2065,
5228284,660.949623,0.4601,0.2783,
5228284,820.149612,0.9298,0.713,
5228284,4580.401974,0.7003,0.4052,
5228286,298.737392,0.2505,0.07689,
5228286,1533.292919,0.04243,0.05972,
5228286,3688.501769,0.81,0.76,
5228286,4946.087698,0.81,0.76,
5228288,4665.304383,0.5929,0.06781,
5228288,4946.465891,0.81,0.76,
5228289,561.042629,0.7591,0.2699,
5228289,2350.364175,0.5154,0.1071,
5228289,2991.741021,0.6873,0.2255,
5228289,3615.013246,0.815,0.642,
5228290,1325.061753,0.733,0.125,
5228290,3280.572145,0.03165,0.05507,
5228291,308.470545,0.81,0.76,
5228291,2413.581259,0.7094,0.1866,
5228291,5490.347479,0.885,0.6561,
5228291,5810.804228,0.8231,0.4147,
5228292,1586.420101,0.2363,0.04162,
5228292,4656.404863,0.81,0.76,
5228292,6017.381882,0.81,0.76,
5228293,1373.947375,0.6308,0.1523,
5228294,2347.44829,0.2756,0.2477,
5228294,2624.12641,0.878,0.2771,
5228294,4777.412127,0.81,0.76,
5228294,5762.815798,0.6572,0.4267,
5228295,484.702846,0.1131,0.03266,
5228295,1427.47282,0.3085,0.04839,
5228295,2232.079737,0.642,0.2096,
5228295,5492.139351,0.6691,0.4669,
5228297,3129.330297,0.7867,0.3442,
5228297,3853.673774,0.6799,0.1608,
5228297,4445.960526,0.3053,0.1395,
5228299,4393.988879,0.3449,0.03578,
5228299,5511.457988,0.5817,0.2226,
5228300,247.243932,0.6909,0.09177,
5228300,2920.93436,0.1263,0.1182,
5228300,4099.14051,0.6808,0.3628,
5228300,4935.320207,0.5426,0.4434,
5228300,5322.760546,0.9197,0.5492,
5228301,438.6928,0.3016,0.3547,
5228301,4462.074091,0.6839,0.1541,
5228302,1890.450903,0.3503,0.08939,
5228302,3306.124574,0.9085,0.5964,
5228303,2356.235988,0.81,0.76,
5228303,2908.663277,0.3915,0.09583,
5228303,3385.297532,0.5965,0.5308,
5228304,1728.672305,0.9294,0.6056,
5228304,2388.167037,0.6861,0.3726,
5228305,804.041842,0.7428,0.3402,
5228305,1235.856845,0.2993,0.1504,
5228306,2674.292887,0.9555,0.8446,
5228306,5433.107484,0.3651,0.3947,
5228307,2606.114089,0.6245,0.2076,
5228307,3004.347492,0.6981,0.2176,
5228307,5475.478461,0.4166,0.1647,
5228308,936.302395,0.1835,0.06958,
5228309,52.938136,0.7599,0.246,
5228309,1109.554778,0.3152,0.3322,
5228309,5699.811615,0.81,0.76,
5228310,3451.270698,0.683,0.368,
5228312,5022.296567,0.343,0.05059,
5228313,636.921051,0.3031,0.07713,
5228314,412.206542,0.1064,0.132,
5228315,456.921178,0.4435,0.3871,
5228315,1749.702209,0.3728,0.1332,
5228315,2497.950159,0.81,0.76,
5228315,2703.354192,0.2732,0.2236,
5228315,4524.387065,0.1801,0.1296,
5228315,5681.598732,0.81,0.76,
5228316,2120.433935,0.2882,0.2456,
5228316,4073.411325,0.8153,0.4886,
5228316,4631.950875,0.3984,0.2788,
5228317,183.098281,0.03554,0.07284,
5228317,377.755169,0.5288,0.1545,
5228317,734.909711,0.769,0.5196,
5228317,1388.444133,0.6934,0.3047,
5228317,5257.544876,0.7844,0.4605,
5228318,2598.886017,0.6172,0.1949,
5228318,3584.813722,0.6031,0.563,
5228319,2911.496386,0.1646,0.04468,
5228320,3056.843112,0.8515,0.6166,
5228320,4635.247827,0.2297,0.3721,
5228321,619.610383,0.6851,0.1094,
5228321,2303.007425,0.81,0.76,
5228321,3735.836765,0.799,0.5294,
5228321,5247.046551,0.8684,0.5851,
5228322,656.133752,0.3427,0.1117,
5228322,1069.755877,0.5491,0.3796,
5228322,1731.741524,0.2948,0.03731,
5228322,5632.942476,0.1535,0.05244,
5228323,1033.061365,0.5794,0.1691,
5228323,5273.018639,0.5306,0.1969,
5228324,1995.649763,0.7224,0.1108,
5228324,2968.873268,0.803,0.7008,
5228324,3447.789492,0.1834,0.1196,
5228324,5159.615728,0.642,0.2224,
5228325,2137.798724,0.095,0.183,
5228325,3493.415081,0.7611,0.2779,
